Data,Home,Away,Liga,Temporada,Rodada,H_Gols_FT,A_Gols_FT,H_Gols_HT,A_Gols_HT,H_Chute,A_Chute,H_Chute_Gol,A_Chute_Gol,H_Ataques,A_Ataques,H_Escanteios,A_Escanteios,Odd_H,Odd_D,Odd_A
2026-01-28,Corinthians,Bahia,Brasil - Serie A,2025,Rodada 1,1,2,0,0,17,11,5,6,100,87,4,6,2.25,3.5,3.2
2026-04-04,São Paulo,Cruzeiro,Brasil - Serie A,2025,Rodada 10,4,1,0,0,11,14,5,7,52,123,6,4,2.25,3.2,3.4
2026-04-11,Mirassol,Bahia,Brasil - Serie A,2025,Rodada 11,1,2,0,0,16,14,6,8,81,102,8,4,2.2,3.3,3.4
2026-04-12,Corinthians,Palmeiras,Brasil - Serie A,2025,Rodada 11,0,0,0,0,6,16,4,4,66,102,2,7,2.7,3.0,2.9
2026-04-19,Santos,Fluminense,Brasil - Serie A,2025,Rodada 12,2,3,0,0,7,10,4,3,99,94,6,4,2.25,3.2,3.4
2026-04-25,Bahia,Santos,Brasil - Serie A,2025,Rodada 13,2,2,0,0,18,11,5,5,97,38,5,3,1.61,3.9,5.5
2026-04-26,Corinthians,Vasco da Gama,Brasil - Serie A,2025,Rodada 13,1,0,0,0,13,21,5,7,84,93,5,7,2.25,3.25,3.3
2026-02-04,Flamengo,Internacional,Brasil - Serie A,2025,Rodada 2,1,1,0,0,18,9,5,5,156,77,4,3,1.42,4.5,7.5
2026-04-22,Flamengo,Vitória,Brasil - Serie A,2025,Rodada 2,2,1,0,0,21,5,10,2,122,80,6,1,1.3,4.75,12.0
2025-08-16,Ceará,Bragantino,Brasil - Serie A,2025,Rodada 20,1,0,0,0,10,9,4,2,90,81,3,4,2.2,3.0,3.75
2025-08-16,Fluminense,Fortaleza,Brasil - Serie A,2025,Rodada 20,2,1,0,0,10,12,3,5,67,124,2,6,1.75,3.5,5.0
2025-08-16,Sport Recife,São Paulo,Brasil - Serie A,2025,Rodada 20,2,2,0,0,8,18,5,8,79,105,4,10,2.0,3.25,4.1
2025-08-16,Vitória,Juventude,Brasil - Serie A,2025,Rodada 20,2,2,0,0,18,13,4,4,94,83,4,6,1.7,3.6,5.25
2025-08-23,Bragantino,Fluminense,Brasil - Serie A,2025,Rodada 21,4,2,0,0,8,21,5,7,56,118,2,11,2.55,3.0,3.0
2025-08-23,Cruzeiro,Internacional,Brasil - Serie A,2025,Rodada 21,2,1,0,0,15,4,7,3,81,91,5,1,1.8,3.5,4.75
2025-08-23,Grêmio,Ceará,Brasil - Serie A,2025,Rodada 21,0,0,0,0,13,15,5,4,106,82,4,1,2.05,3.1,4.2
2025-08-24,Fortaleza,Mirassol,Brasil - Serie A,2025,Rodada 21,0,1,0,0,14,7,6,4,115,90,11,3,2.5,3.2,2.8
2025-08-24,Juventude,Botafogo,Brasil - Serie A,2025,Rodada 21,1,3,0,0,16,13,6,6,119,93,5,3,3.8,3.4,2.0
2025-08-25,Palmeiras,Sport Recife,Brasil - Serie A,2025,Rodada 21,3,0,0,0,22,10,8,1,88,94,6,3,1.28,5.25,10.0
2025-08-30,Ceará,Juventude,Brasil - Serie A,2025,Rodada 22,0,1,0,0,13,10,7,2,105,73,4,5,1.75,3.5,5.0
2025-08-31,Flamengo,Grêmio,Brasil - Serie A,2025,Rodada 22,1,1,0,0,21,6,6,1,133,58,13,0,1.25,5.25,13.0
2025-08-31,Internacional,Fortaleza,Brasil - Serie A,2025,Rodada 22,2,1,0,0,14,10,6,3,43,20,4,5,1.65,3.75,5.5
2025-08-31,Sport Recife,Vasco da Gama,Brasil - Serie A,2025,Rodada 22,2,3,0,0,14,10,4,7,18,22,10,5,2.4,3.25,3.0
2026-02-11,Mirassol,Cruzeiro,Brasil - Serie A,2025,Rodada 3,2,2,0,0,20,9,11,4,89,73,9,0,2.4,3.0,3.25
2026-02-25,Grêmio,Atlético Mineiro,Brasil - Serie A,2025,Rodada 4,2,1,0,0,18,8,7,2,126,70,6,3,2.15,3.3,3.4
2026-02-26,Santos,Vasco da Gama,Brasil - Serie A,2025,Rodada 4,2,1,0,0,8,16,4,2,89,103,5,2,2.05,3.4,3.75
2026-03-14,Vitória,Atlético Mineiro,Brasil - Serie A,2025,Rodada 6,2,0,0,0,9,12,4,3,80,114,4,10,2.4,3.1,3.2
2026-03-18,Atlético Mineiro,São Paulo,Brasil - Serie A,2025,Rodada 7,1,0,0,0,13,12,4,3,64,126,4,1,2.35,3.0,3.4
2026-03-18,Palmeiras,Botafogo,Brasil - Serie A,2025,Rodada 7,2,1,0,0,19,6,6,3,80,85,6,1,1.5,4.1,6.5
2026-03-21,Bragantino,Botafogo,Brasil - Serie A,2025,Rodada 8,1,2,0,0,18,8,6,3,89,51,11,6,1.9,3.4,4.2
