id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
xIDrcTJk,BRAZIL,Serie A Betano 2026,BRAZIL 1,2026,RODADA 17,24/05/2026,16:00,Cruzeiro,Chapecoense,,,,,,,1.33,4.75,8.5,1.8,2.5,7.5,1.17,3.4,1.59,1.92,2.43,1.35,2.05,1.69,1.07,1.15,2.75
WvZHBSYr,BRAZIL,Serie A Betano 2026,BRAZIL 1,2026,RODADA 17,24/05/2026,16:00,Remo,Athletico-PR,,,,,,,2.71,3.11,2.66,3.35,2.18,3.35,1.29,3.3,1.95,1.75,3.6,1.25,1.76,1.98,1.44,1.33,1.43
A3c2Hc54,BRAZIL,Serie A Betano 2026,BRAZIL 1,2026,RODADA 17,24/05/2026,18:30,Corinthians,Atlético-MG,,,,,,,1.88,3.25,4.1,2.62,2.02,4.9,1.5,2.62,2.45,1.57,4.6,1.2,2.17,1.64,1.22,1.3,1.75
lbC7eGro,BRAZIL,Serie A Betano 2026,BRAZIL 1,2026,RODADA 17,24/05/2026,20:30,Vasco,Red Bull Bragantino,,,,,,,1.95,3.3,3.75,2.6,2.05,4.2,1.28,2.7,1.9,1.61,3.05,1.21,1.77,1.93,1.25,1.25,1.8
xQXUa3UG,ENGLAND,Premier League 2025-2026,ENGLAND 1,2025,RODADA 38,24/05/2026,12:00,Brighton,Manchester Utd,,,,,,,2.2,3.7,3.05,2.67,2.42,3.4,1.14,5.08,1.48,2.53,2.15,1.65,1.49,2.5,1.35,1.26,1.58
buMwbsaT,ENGLAND,Premier League 2025-2026,ENGLAND 1,2025,RODADA 38,24/05/2026,12:00,Burnley,Wolverhampton,,,,,,,2.43,3.44,2.85,2.95,2.24,3.4,1.25,3.9,1.8,2.01,2.8,1.43,1.6,2.22,1.47,1.33,1.6
UNC9hLMj,ENGLAND,Premier League 2025-2026,ENGLAND 1,2025,RODADA 38,24/05/2026,12:00,Crystal Palace,Arsenal,,,,,,,4.2,3.91,1.74,4.47,2.42,2.26,1.23,4.0,1.71,2.1,2.71,1.44,1.62,2.16,2.01,1.22,1.22
pWfdGOEc,ENGLAND,Premier League 2025-2026,ENGLAND 1,2025,RODADA 38,24/05/2026,12:00,Fulham,Newcastle,,,,,,,2.65,3.55,2.4,3.0,2.3,2.8,1.2,4.5,1.62,2.3,2.42,1.56,1.45,2.55,1.54,1.28,1.45
Iqg4E2qA,ENGLAND,Premier League 2025-2026,ENGLAND 1,2025,RODADA 38,24/05/2026,12:00,Liverpool,Brentford,,,,,,,1.73,4.0,4.2,2.25,2.5,4.33,1.2,4.4,1.65,2.25,2.5,1.53,1.5,2.5,1.22,1.22,2.05
zLXUefTr,ENGLAND,Premier League 2025-2026,ENGLAND 1,2025,RODADA 38,24/05/2026,12:00,Manchester City,Aston Villa,,,,,,,1.39,5.35,6.75,1.82,2.75,6.1,1.07,6.4,1.46,2.7,2.06,1.76,1.72,2.1,1.13,1.18,3.01
roywfYce,ENGLAND,Premier League 2025-2026,ENGLAND 1,2025,RODADA 38,24/05/2026,12:00,Nottingham,Bournemouth,,,,,,,2.7,3.65,2.45,3.0,2.25,2.8,1.2,4.5,1.64,2.26,2.47,1.54,1.49,2.43,1.53,1.26,1.44
40PohCS7,ENGLAND,Premier League 2025-2026,ENGLAND 1,2025,RODADA 38,24/05/2026,12:00,Sunderland,Chelsea,,,,,,,3.66,3.66,1.92,4.0,2.33,2.42,1.23,4.1,1.76,2.06,2.7,1.46,1.64,2.14,1.78,1.26,1.26
W6HXFFKE,ENGLAND,Premier League 2025-2026,ENGLAND 1,2025,RODADA 38,24/05/2026,12:00,Tottenham,Everton,,,,,,,1.87,3.73,3.87,2.37,2.35,4.3,1.22,4.0,1.73,2.02,2.82,1.41,1.63,2.16,1.26,1.26,1.85
CGPuEgkR,ENGLAND,Premier League 2025-2026,ENGLAND 1,2025,RODADA 38,24/05/2026,12:00,West Ham,Leeds,,,,,,,2.04,3.6,3.2,2.55,2.25,3.65,1.19,4.36,1.63,2.18,2.5,1.49,1.53,2.4,1.33,1.22,1.73
pldfXLVi,SPAIN,La Liga 2025-2026,SPAIN 1,2025,RODADA 38,24/05/2026,16:00,Villarreal,Atl. Madrid,,,,,,,2.29,3.58,2.74,2.98,2.38,3.08,1.12,5.0,1.41,2.6,2.05,1.66,1.43,2.71,1.5,1.25,1.48
nN3yz9Gs,ITALY,Serie A 2025-2026,ITALY 1,2025,RODADA 38,24/05/2026,10:00,Parma,Sassuolo,,,,,,,2.71,3.1,2.45,3.33,2.14,3.1,1.29,3.3,1.91,1.8,3.3,1.29,1.75,1.96,1.45,1.33,1.38
2kS4uVhK,ITALY,Serie A 2025-2026,ITALY 1,2025,RODADA 38,24/05/2026,13:00,Napoli,Udinese,,,,,,,1.49,4.26,6.75,2.0,2.36,6.6,1.33,3.3,1.93,1.87,3.15,1.36,2.03,1.72,1.13,1.25,2.64
zqzJHR0D,ITALY,Serie A 2025-2026,ITALY 1,2025,RODADA 38,24/05/2026,15:45,AC Milan,Cagliari,,,,,,,1.38,4.2,8.8,1.55,2.35,7.6,1.24,3.71,1.75,1.98,2.85,1.38,1.87,1.64,1.04,1.13,2.3
tMbNSi9E,ITALY,Serie A 2025-2026,ITALY 1,2025,RODADA 38,24/05/2026,15:45,Cremonese,Como,,,,,,,5.7,3.85,1.55,5.25,2.3,2.05,1.2,4.0,1.65,2.1,2.75,1.4,1.75,2.0,2.35,1.2,1.13
vHtAJmW0,ITALY,Serie A 2025-2026,ITALY 1,2025,RODADA 38,24/05/2026,15:45,Lecce,Genoa,,,,,,,1.68,3.4,4.75,2.33,2.08,5.5,1.4,2.75,2.25,1.57,4.5,1.17,2.2,1.6,1.17,1.25,1.96
Yw2qYnof,ITALY,Serie A 2025-2026,ITALY 1,2025,RODADA 38,24/05/2026,15:45,Torino,Juventus,,,,,,,6.5,4.33,1.4,6.33,2.54,1.85,1.22,4.02,1.72,2.04,2.77,1.42,1.84,1.85,2.5,1.17,1.1
U5ehWQF6,ITALY,Serie A 2025-2026,ITALY 1,2025,RODADA 38,24/05/2026,15:45,Verona,AS Roma,,,,,,,8.5,4.5,1.32,7.5,2.42,1.83,1.25,3.4,1.78,1.88,3.0,1.32,2.16,1.61,2.66,1.16,1.07
