Match_ID,Campeonato,Rodada,Home,Away,Score_Home,Score_Away,Data,Hora,H_Gols_HT,A_Gols_HT
lQQTzpqQ,BRASIL: Brasileirão Betano,RODADA 38,Atlético-MG,Vasco,5,0,,,,
YyRPIpNs,BRASIL: Brasileirão Betano,RODADA 38,Botafogo,Fortaleza,4,2,,,,
ll9GRu6C,BRASIL: Brasileirão Betano,RODADA 38,Ceará,Palmeiras,1,3,,,,
t2UXGOif,BRASIL: Brasileirão Betano,RODADA 38,Corinthians,Juventude,1,1,,,,
l4kgO6aK,BRASIL: Brasileirão Betano,RODADA 38,Fluminense,Bahia,2,0,,,,
K8HaVN6m,BRASIL: Brasileirão Betano,RODADA 38,Internacional,Red Bull Bragantino,3,1,,,,
xUNtF2M6,BRASIL: Brasileirão Betano,RODADA 38,Santos,Cruzeiro,3,0,,,,
rm2PPJzP,BRASIL: Brasileirão Betano,RODADA 38,Sport,Grêmio,0,4,,,,
tO58T1y0,BRASIL: Brasileirão Betano,RODADA 38,Vitória,São Paulo,1,0,,,,
AsMlDtiJ,BRASIL: Brasileirão Betano,RODADA 38,Mirassol,Flamengo,3,3,,,,
2ZBCBTFE,BRASIL: Brasileirão Betano,RODADA 37,Cruzeiro,Botafogo,2,2,,,,
Cj0mREE8,BRASIL: Brasileirão Betano,RODADA 34,Atlético-MG,Palmeiras,0,3,,,,
h0MSBxAc,BRASIL: Brasileirão Betano,RODADA 37,Flamengo,Ceará,1,0,,,,
8zii4o8l,BRASIL: Brasileirão Betano,RODADA 37,Bahia,Sport,2,0,,,,
EDVHknge,BRASIL: Brasileirão Betano,RODADA 37,São Paulo,Internacional,3,0,,,,
xGr8037D,BRASIL: Brasileirão Betano,RODADA 37,Juventude,Santos,0,3,,,,
tlka2Px1,BRASIL: Brasileirão Betano,RODADA 37,Fortaleza,Corinthians,2,1,,,,
URz3J2e2,BRASIL: Brasileirão Betano,RODADA 34,Red Bull Bragantino,Vitória,4,0,,,,
ljAK97pR,BRASIL: Brasileirão Betano,RODADA 37,Grêmio,Fluminense,1,2,,,,
naFyAGvA,BRASIL: Brasileirão Betano,RODADA 37,Vasco,Mirassol,0,2,,,,
YLYhUvRH,BRASIL: Brasileirão Betano,RODADA 35,Fortaleza,Atlético-MG,1,0,,,,
nPbSrvtB,BRASIL: Brasileirão Betano,RODADA 36,Corinthians,Botafogo,2,2,,,,
tMhAgefT,BRASIL: Brasileirão Betano,RODADA 36,Ceará,Cruzeiro,1,1,,,,
Yek2eHPG,BRASIL: Brasileirão Betano,RODADA 36,Vitória,Mirassol,2,0,,,,
8vmysIAN,BRASIL: Brasileirão Betano,RODADA 36,Santos,Sport,3,0,,,,
