liga,hora,home,away,link_confronto
Bolívia - Liga De Futbol Prof,16:00,San Antonio Bulo Bulo,The Strongest,https://redscores.com/pt-br/match/the-strongest-san-antonio-bulo-bulo/kvbxsSeA
Bolívia - Liga De Futbol Prof,18:30,ABB,Universitario de Vinto,https://redscores.com/pt-br/match/abb-universitario-de-vinto/yseAxvSeA
Bolívia - Liga De Futbol Prof,21:00,Real Oruro,Guabirá,https://redscores.com/pt-br/match/guabira-real-oruro/AEBxmGfA
Brasil - Serie B,19:00,Coritiba,Criciúma,https://redscores.com/pt-br/match/criciuma-coritiba/7SAxbvA
Brasil - Serie B,21:30,Atlético GO,América Mineiro,https://redscores.com/pt-br/match/america-mineiro-atletico-go/vvAxRhb
Brasil - Serie B,21:35,Chapecoense,Avaí,https://redscores.com/pt-br/match/chapecoense-avai/TFxbWA
Peru - Primera Division,17:00,Ayacucho,Juan Pablo II College,https://redscores.com/pt-br/match/ayacucho-juan-pablo-ii-college/6VBxwyFA
Peru - Primera Division,21:00,Deportivo Garcilaso,UTC Cajamarca,https://redscores.com/pt-br/match/utc-cajamarca-deportivo-garcilaso/NcAxChc
Suécia - Superettan,14:00,Umeå,Västerås SK,https://redscores.com/pt-br/match/umea-vasteras-sk/MRAxEkb
Suécia - Superettan,14:00,Östersunds FK,Utsikten,https://redscores.com/pt-br/match/ostersunds-fk-utsikten/2MxnU
Suécia - Superettan,14:00,Trelleborg,Örgryte,https://redscores.com/pt-br/match/orgryte-trelleborg/upxKY
Suécia - Superettan,14:00,Sandviken,Helsingborg,https://redscores.com/pt-br/match/helsingborg-sandviken/XexzSB
