liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
Inglaterra - Premier League,17:00,Manchester United,Newcastle,2.45,3.6,2.62,https://redscores.com/pt-br/match/manchester-united-newcastle-united/hxk
Bélgica - Pro League,09:30,Genk,Club Brugge,3.0,3.5,2.15,https://redscores.com/pt-br/match/club-brugge-genk/RCxMw
Bélgica - Pro League,12:00,Cercle Brugge,Union Saint-Gilloise,3.7,3.5,1.85,https://redscores.com/pt-br/match/cercle-brugge-union-saint-gilloise/jVx3BA
Bélgica - Pro League,14:30,St. Liège,St. Truiden,2.8,3.3,2.3,https://redscores.com/pt-br/match/sint-truiden-standard-liege/ZCxOF
Bélgica - Pro League,16:45,Anderlecht,Charleroi,1.75,3.5,4.33,https://redscores.com/pt-br/match/sporting-charleroi-anderlecht/ZIx3U
Inglaterra - Championship,09:30,Birmingham,Derby,1.85,3.4,4.33,https://redscores.com/pt-br/match/birmingham-city-derby-county/gxm
Inglaterra - Championship,10:00,Millwall,Ipswich,3.6,3.4,2.05,https://redscores.com/pt-br/match/millwall-ipswich-town/BAx4A
Inglaterra - Championship,12:00,Oxford Utd,Southampton,3.9,3.8,1.8,https://redscores.com/pt-br/match/southampton-oxford-united/cAx2c
Inglaterra - Championship,12:00,Leicester,Watford,2.3,3.3,3.1,https://redscores.com/pt-br/match/watford-leicester-city/Mxv
Inglaterra - Championship,12:00,Middlesbrough,Blackburn,1.75,3.6,4.5,https://redscores.com/pt-br/match/blackburn-rovers-middlesbrough/bxD
Inglaterra - Championship,12:00,Norwich,Charlton,1.95,3.5,3.7,https://redscores.com/pt-br/match/charlton-athletic-norwich-city/cxQ
Inglaterra - Championship,12:00,Coventry,Swansea,1.65,3.8,5.25,https://redscores.com/pt-br/match/swansea-city-coventry-city/px5A
Inglaterra - Championship,12:00,Stoke,Preston,2.05,3.3,3.5,https://redscores.com/pt-br/match/stoke-city-preston-north-end/nxtA
Inglaterra - Championship,12:00,West Brom,Bristol City,2.05,3.4,3.5,https://redscores.com/pt-br/match/west-bromwich-albion-bristol-city/fxab
Inglaterra - Championship,12:00,Portsmouth,QPR,2.87,3.5,2.3,https://redscores.com/pt-br/match/portsmouth-queens-park-rangers/Cxy
Inglaterra - Championship,12:00,Sheffield Wed,Hull,3.9,3.7,1.85,https://redscores.com/pt-br/match/hull-city-sheffield-wednesday/lx5
Inglaterra - Championship,14:30,Wrexham,Sheffield Utd,3.25,3.4,2.15,https://redscores.com/pt-br/match/sheffield-united-wrexham/KxTc
Inglaterra - League One,12:00,Bolton,Rotherham,1.38,4.5,7.5,https://redscores.com/pt-br/match/bolton-wanderers-rotherham-united/ixib
Inglaterra - League One,12:00,Huddersfield,Port Vale,1.72,3.6,4.5,https://redscores.com/pt-br/match/huddersfield-town-port-vale/DcxVC
Inglaterra - League One,12:00,Blackpool,Doncaster,2.25,3.6,2.9,https://redscores.com/pt-br/match/blackpool-doncaster-rovers/ox1B
Inglaterra - League One,12:00,Burton,Northampton,2.15,3.2,3.5,https://redscores.com/pt-br/match/burton-albion-northampton-town/obxtB
Inglaterra - League One,12:00,Luton,Wycombe,2.25,3.3,3.1,https://redscores.com/pt-br/match/luton-town-wycombe-wanderers/3AxaB
Inglaterra - League One,12:00,Peterborough,Leyton Orient,2.1,3.5,3.2,https://redscores.com/pt-br/match/peterborough-united-leyton-orient/fcxZc
Inglaterra - League One,12:00,Plymouth,Reading,2.45,3.5,2.6,https://redscores.com/pt-br/match/reading-plymouth-argyle/LxzA
Inglaterra - League One,12:00,Stockport County,Lincoln,2.15,3.25,3.25,https://redscores.com/pt-br/match/stockport-county-lincoln-city/CcxaC
Inglaterra - League One,12:00,Wimbledon,Stevenage,2.9,2.75,2.7,https://redscores.com/pt-br/match/afc-wimbledon-stevenage/6cxVd
Inglaterra - League One,12:00,Barnsley,Mansfield,1.9,3.5,3.75,https://redscores.com/pt-br/match/barnsley-mansfield-town/3xvB
Inglaterra - League One,12:00,Bradford City,Wigan,1.9,3.5,3.8,https://redscores.com/pt-br/match/wigan-athletic-bradford-city/IxHb
Inglaterra - League One,12:00,Cardiff,Exeter,1.57,3.9,5.75,https://redscores.com/pt-br/match/cardiff-city-exeter-city/eAxbB
Inglaterra - League Two,12:00,Newport,Barnet,5.25,4.0,1.57,https://redscores.com/pt-br/match/newport-county-barnet/FAxGC
Inglaterra - League Two,12:00,Crawley,Colchester,2.9,3.5,2.25,https://redscores.com/pt-br/match/colchester-united-crawley-town/GAxlB
Inglaterra - League Two,12:00,Walsall,Crewe,2.0,3.3,3.7,https://redscores.com/pt-br/match/walsall-crewe-alexandra/HAxnA
Inglaterra - League Two,12:00,Chesterfield,Notts County,2.3,3.4,2.87,https://redscores.com/pt-br/match/notts-county-chesterfield/SAxcc
Inglaterra - League Two,12:00,Accrington,Barrow,2.1,3.25,3.5,https://redscores.com/pt-br/match/barrow-accrington-stanley/GdxOd
Inglaterra - League Two,12:00,Cheltenham,Shrewsbury,2.6,3.3,2.55,https://redscores.com/pt-br/match/shrewsbury-town-cheltenham-town/qbxXC
Inglaterra - League Two,12:00,Gillingham,Cambridge,2.9,3.0,2.5,https://redscores.com/pt-br/match/cambridge-united-gillingham/zBxbC
Inglaterra - League Two,12:00,Grimsby Town,Oldham,2.05,3.6,3.25,https://redscores.com/pt-br/match/grimsby-town-oldham-athletic/HBxRB
Inglaterra - League Two,12:00,MK Dons,Swindon,1.85,3.6,3.8,https://redscores.com/pt-br/match/swindon-town-milton-keynes-dons/UcxsC
Inglaterra - League Two,12:00,Salford,Harrogate,1.36,4.5,7.5,https://redscores.com/pt-br/match/salford-city-harrogate-town/Dbxid
Inglaterra - League Two,12:00,Bristol Rovers,Bromley,2.75,3.2,2.5,https://redscores.com/pt-br/match/bristol-rovers-bromley/yBx1c
