data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-04-13,Inglaterra - Premier League,16:00,Manchester United,Leeds,1.57,4.1,5.5,https://redscores.com/pt-br/match/manchester-united-leeds-united/hxfA
2026-04-13,Espanha - La Liga,16:00,Levante,Getafe,2.6,3.0,3.0,https://redscores.com/pt-br/match/getafe-levante/WAxU5
2026-04-13,Itália - Serie A,15:45,Fiorentina,Lazio,2.35,3.1,3.3,https://redscores.com/pt-br/match/lazio-fiorentina/VxYA
2026-04-13,Portugal - Primeira Liga,16:15,Tondela,Gil Vicente,4.1,3.2,1.95,https://redscores.com/pt-br/match/gil-vicente-tondela/8Cxk6
2026-04-13,Turquia - Super Lig,14:00,Rizespor,Gaziantep,1.72,3.7,4.5,https://redscores.com/pt-br/match/rizespor-gaziantep-fk/cIxwDA
2026-04-13,Turquia - Super Lig,14:00,Eyüpspor,Samsunspor,4.2,3.4,1.85,https://redscores.com/pt-br/match/samsunspor-eyupspor/CXx11
2026-04-13,Espanha - La Liga 2,15:30,Valladolid,Eibar,2.4,3.0,3.2,https://redscores.com/pt-br/match/sd-eibar-real-valladolid/9x5C
2026-04-13,França - Ligue 2,15:45,Rodez,Troyes,3.2,3.4,1.95,https://redscores.com/pt-br/match/troyes-rodez/q3AxJpb
2026-04-13,Países Baixos - Eerste Divisie,15:00,Jong Ajax,TOP Oss,2.1,3.75,3.0,https://redscores.com/pt-br/match/top-oss-jong-ajax/vtxtW
2026-04-13,Países Baixos - Eerste Divisie,15:00,Jong AZ,Jong PSV,1.8,4.1,3.75,https://redscores.com/pt-br/match/jong-psv-jong-az/VYxc0
2026-04-13,Países Baixos - Eerste Divisie,15:00,Jong Utrecht,Vitesse,2.62,3.75,2.37,https://redscores.com/pt-br/match/vitesse-jong-utrecht/QAxfW
2026-04-13,Dinamarca - Superliga,14:00,Fredericia,Vejle,2.35,3.6,2.87,https://redscores.com/pt-br/match/fredericia-vejle/CYxmab
2026-04-13,Suécia - Allsvenskan,14:00,Brommapojkarna,AIK,3.5,3.9,1.9,https://redscores.com/pt-br/match/aik-brommapojkarna/JXx12
2026-04-13,Suécia - Allsvenskan,14:00,Sirius,Hammarby,2.8,3.5,2.37,https://redscores.com/pt-br/match/hammarby-sirius/Rtx4V
2026-04-13,Argentina - Superliga,16:30,Sarmiento,Gimnasia La Plata,2.4,3.0,3.3,https://redscores.com/pt-br/match/gimnasia-la-plata-sarmiento/VDxzub
2026-04-13,Argentina - Superliga,16:30,Defensa y Justicia,Talleres Córdoba,,,,https://redscores.com/pt-br/match/defensa-y-justicia-talleres-cordoba/Wrbx5Ub
2026-04-13,Argentina - Superliga,19:00,Lanús,Banfield,1.85,3.4,4.5,https://redscores.com/pt-br/match/banfield-lanus/Qhx6Tb
2026-04-13,Argentina - Superliga,21:30,Vélez Sarsfield,Central Cordoba,1.5,3.8,8.0,https://redscores.com/pt-br/match/velez-sarsfield-central-cordoba/lubx9zB
2026-04-13,Albânia - Superliga,11:00,Bylis Ballsh,Dinamo Tirana,,,,https://redscores.com/pt-br/match/dinamo-tirana-bylis-ballsh/KmAxQmA
2026-04-13,Albânia - Superliga,14:00,AF Elbasani,Partizani Tirana,1.9,3.2,3.6,https://redscores.com/pt-br/match/partizani-tirana-af-elbasani/gmAx5LfA
2026-04-13,Argentina - Primera B Nacional,19:00,Nueva Chicago,Midland,2.8,2.5,3.2,https://redscores.com/pt-br/match/midland-nueva-chicago/hwbxaPB
2026-04-13,Argentina - Primera B Nacional,20:00,Tristán Suárez,Atlético Rafaela,2.15,2.8,4.1,https://redscores.com/pt-br/match/atletico-rafaela-tristan-suarez/J4bxa5B
2026-04-13,Argentina - Primera B Nacional,21:30,San Martín San Juan,Atlanta,,,,https://redscores.com/pt-br/match/san-martin-san-juan-atlanta/Svbx5vb
2026-04-13,Bolívia - Liga De Futbol Prof,21:00,Real Tomayapo,Real Potosí,1.61,3.9,4.75,https://redscores.com/pt-br/match/real-potosi-real-tomayapo/25BxDTdA
2026-04-13,Brasil - Serie C,20:00,Figueirense,Maringá,,,,https://redscores.com/pt-br/match/figueirense-maringa/wtbxpIB
2026-04-13,Bulgária - Parva Liga,10:00,CSKA Sofia,Levski Sofia,2.7,2.75,3.0,https://redscores.com/pt-br/match/cska-sofia-levski-sofia/ndx01
2026-04-13,Bulgária - Parva Liga,13:00,Beroe,Lokomotiv Plovdiv,3.4,3.1,2.2,https://redscores.com/pt-br/match/lokomotiv-plovdiv-beroe/mCxoAb
2026-04-13,Chile - Primera Division,21:00,Unión La Calera,Concepcion,2.15,3.25,3.2,https://redscores.com/pt-br/match/union-la-calera-concepcion/qRBxG5B
2026-04-13,Colômbia - Liga BetPlay,23',La Equidad,Alianza Petrolera,,,,https://redscores.com/pt-br/match/la-equidad-alianza-petrolera/EUbxLNB
2026-04-13,Croácia - 1. HNL,13:00,Vukovar,Dinamo Zagreb,,,,https://redscores.com/pt-br/match/dinamo-zagreb-vukovar/BFxf9A
2026-04-13,Egito - Premier League,12:00,Pharco,Haras El Hodood,2.37,2.75,3.0,https://redscores.com/pt-br/match/haras-el-hodood-pharco/TMcxuyE
2026-04-13,Egito - Premier League,12:00,Ghazl El Mehalla,Wadi Degla,3.9,2.8,2.0,https://redscores.com/pt-br/match/wadi-degla-ghazl-el-mehalla/v3AxrMc
2026-04-13,Egito - Premier League,15:00,El Geish,Petrojet,2.37,2.87,2.87,https://redscores.com/pt-br/match/el-geish-petrojet/tnxU2A
2026-04-13,Egito - Premier League,15:00,National Bank of Egypt,Al Mokawloon,2.15,2.9,3.25,https://redscores.com/pt-br/match/al-mokawloon-national-bank-of-egypt/GfxuKdA
2026-04-13,Hungria - OTP Bank Liga,15:00,Várda SE,Debrecen,2.8,3.25,2.25,https://redscores.com/pt-br/match/debrecen-varda-se/pdx0v
2026-04-13,Noruega - Obos-Ligaen,14:00,Raufoss,Kongsvinger,3.9,4.1,1.7,https://redscores.com/pt-br/match/kongsvinger-raufoss/p3AxHZb
2026-04-13,Polônia - Ekstraklasa,14:00,Piast Gliwice,Pogoń Szczecin,2.15,3.4,2.9,https://redscores.com/pt-br/match/pogon-szczecin-piast-gliwice/HGxvu
2026-04-13,Portugal - Segunda Liga,14:00,Lusitania FC Lourosa,Porto II,2.15,3.0,3.1,https://redscores.com/pt-br/match/porto-ii-lusitania-fc-lourosa/L4xcUd
