Link,Data,Hora,Pais,Liga,Rodada,Home,Away,H_gols_ft,A_gols_ft,H_gols_ht,A_gols_ht,H_posse,A_posse,H_xg,A_xg,H_chutes,A_chutes,H_chutes_alvo,A_chutes_alvo,H_escanteios,A_escanteios,H_faltas,A_faltas,H_amarelos,A_amarelos,H_vermelhos,A_vermelhos,H_ataques,A_ataques,H_ataques_perigosos,A_ataques_perigosos,H_defesas_goleiro,A_defesas_goleiro,H_passes,A_passes,H_acerto_passe,A_acerto_passe,H_passes_decisivos,A_passes_decisivos,H_cruzamentos,A_cruzamentos,H_dribles,A_dribles,H1_chutes_alvo,A1_chutes_alvo,H1_ataques,A1_ataques,H1_ataques_perigosos,A1_ataques_perigosos,H2_chutes_alvo,A2_chutes_alvo,H2_ataques,A2_ataques,H2_ataques_perigosos,A2_ataques_perigosos,Odd_h_open,Odd_d_open,Odd_a_open,Odd_h_close,Odd_d_close,Odd_a_close
https://redscores.com/match/lask-linz-rapid-vienna/h4xj9#1943538,2026-05-04,15:30,Austria,Tipico Bundesliga,Rodada 8,LASK Linz,Rapid Vienna,3,1,3,1,42.0,58.0,2.33,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/blau-weis-linz-ried/d3xP7#1943497,2026-05-02,12:00,Austria,Tipico Bundesliga,Rodada 8,Ried,Blau-Weiß Linz,2,0,2,0,49.0,51.0,1.75,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/lask-linz-hartberg/h4xRQA#1943520,2026-04-26,09:30,Austria,Tipico Bundesliga,Rodada 7,Hartberg,LASK Linz,1,5,1,5,54.0,46.0,0.58,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/wolfsberger-ac-grazer-ak/CAAx0qA#1943493,2026-04-25,12:00,Austria,Tipico Bundesliga,Rodada 7,Wolfsberger AC,Grazer AK,1,0,1,0,44.0,56.0,0.72,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/rapid-vienna-hartberg/j9xRQA#1943524,2026-04-19,09:30,Austria,Tipico Bundesliga,Rodada 5,Hartberg,Rapid Vienna,2,2,2,2,32.0,68.0,0.44,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/salzburg-austria-wien/zxP8#1943523,2026-04-19,09:30,Austria,Tipico Bundesliga,Rodada 5,Austria Wien,Salzburg,1,3,1,3,55.0,45.0,1.37,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/rheindorf-altach-grazer-ak/WBAx0qA#1943484,2026-04-11,12:00,Austria,Tipico Bundesliga,Rodada 4,Rheindorf Altach,Grazer AK,1,0,1,0,44.0,56.0,1.06,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/lask-linz-austria-wien/h4xP8#1943527,2026-04-05,09:30,Austria,Tipico Bundesliga,Rodada 3,LASK Linz,Austria Wien,4,1,4,1,73.0,27.0,1.96,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/wolfsberger-ac-wsg-tirol/CAAx3CA#1943482,2026-04-04,12:00,Austria,Tipico Bundesliga,Rodada 3,WSG Tirol,Wolfsberger AC,3,1,3,1,46.0,54.0,2.7,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/ried-rheindorf-altach/P7xWBA#1943481,2026-04-03,14:30,Austria,Tipico Bundesliga,Rodada 3,Ried,Rheindorf Altach,3,2,3,2,55.0,45.0,2.27,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/austria-wien-hartberg/P8xRQA#1943512,2026-03-22,10:30,Austria,Tipico Bundesliga,Rodada 2,Hartberg,Austria Wien,0,1,0,1,40.0,60.0,0.05,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/wolfsberger-ac-rheindorf-altach/CAAxWBA#1943478,2026-03-21,13:00,Austria,Tipico Bundesliga,Rodada 2,Wolfsberger AC,Rheindorf Altach,1,1,1,1,49.0,51.0,1.14,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/blau-weis-linz-hartberg/d3xRQA#1711126,2026-03-08,13:00,Austria,Tipico Bundesliga,Rodada 22,Hartberg,Blau-Weiß Linz,1,1,1,1,51.0,49.0,1.65,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/ried-grazer-ak/P7x0qA#1711119,2026-03-01,13:00,Austria,Tipico Bundesliga,Rodada 21,Grazer AK,Ried,2,1,2,1,43.0,57.0,0.93,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/rapid-vienna-rheindorf-altach/j9xWBA#1711109,2026-03-01,13:00,Austria,Tipico Bundesliga,Rodada 21,Rheindorf Altach,Rapid Vienna,1,1,1,1,52.0,48.0,0.63,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
