Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Home_Score_HT,Away_Score_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_H_HT,Odd_D_HT,Odd_A_HT,Over_FT_2.5,Under_FT_2.5,Over_HT_0.5,Under_HT_0.5,Over_FT_0.5,Under_FT_0.5,Over_FT_1.5,Under_FT_1.5,Over_FT_3.5,Under_FT_3.5,Over_FT_4.5,Under_FT_4.5,Over_HT_1.5,Under_HT_1.5,Over_HT_2.5,Under_HT_2.5,Big_Chances_Away_2T,Big_Chances_Away_FT,Big_Chances_Away_HT,Big_Chances_Home_2T,Big_Chances_Home_FT,Big_Chances_Home_HT,Blocked_Shots_Away_2T,Blocked_Shots_Away_FT,Blocked_Shots_Away_HT,Blocked_Shots_Home_2T,Blocked_Shots_Home_FT,Blocked_Shots_Home_HT,Clearances_Away_2T,Clearances_Away_FT,Clearances_Away_HT,Clearances_Home_2T,Clearances_Home_FT,Clearances_Home_HT,Corners_Away_2T,Corners_Away_FT,Corners_Away_HT,Corners_Home_2T,Corners_Home_FT,Corners_Home_HT,Crosses_Pct_Away_2T,Crosses_Pct_Away_FT,Crosses_Pct_Away_HT,Crosses_Pct_Home_2T,Crosses_Pct_Home_FT,Crosses_Pct_Home_HT,Duels_Won_Away_2T,Duels_Won_Away_FT,Duels_Won_Away_HT,Duels_Won_Home_2T,Duels_Won_Home_FT,Duels_Won_Home_HT,Errors_Goal_Away_2T,Errors_Goal_Away_FT,Errors_Goal_Away_HT,Errors_Goal_Home_2T,Errors_Goal_Home_FT,Errors_Goal_Home_HT,Errors_Shot_Away_2T,Errors_Shot_Away_FT,Errors_Shot_Away_HT,Errors_Shot_Home_2T,Errors_Shot_Home_FT,Errors_Shot_Home_HT,Fouls_Away_2T,Fouls_Away_FT,Fouls_Away_HT,Fouls_Home_2T,Fouls_Home_FT,Fouls_Home_HT,Free_Kicks_Away_2T,Free_Kicks_Away_FT,Free_Kicks_Away_HT,Free_Kicks_Home_2T,Free_Kicks_Home_FT,Free_Kicks_Home_HT,Goalkeeper_Saves_Away_2T,Goalkeeper_Saves_Away_FT,Goalkeeper_Saves_Away_HT,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Home_HT,Goals_Prevented_Away_2T,Goals_Prevented_Away_FT,Goals_Prevented_Away_HT,Goals_Prevented_Home_2T,Goals_Prevented_Home_FT,Goals_Prevented_Home_HT,Hit_Woodwork_Away_2T,Hit_Woodwork_Away_FT,Hit_Woodwork_Away_HT,Hit_Woodwork_Home_2T,Hit_Woodwork_Home_FT,Hit_Woodwork_Home_HT,Interceptions_Away_2T,Interceptions_Away_FT,Interceptions_Away_HT,Interceptions_Home_2T,Interceptions_Home_FT,Interceptions_Home_HT,Long_Passes_Pct_Away_2T,Long_Passes_Pct_Away_FT,Long_Passes_Pct_Away_HT,Long_Passes_Pct_Home_2T,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Home_HT,Offsides_Away_2T,Offsides_Away_FT,Offsides_Away_HT,Offsides_Home_2T,Offsides_Home_FT,Offsides_Home_HT,Over_FT_5.5,Over_FT_6.5,Over_FT_7.5,Over_FT_8.5,Over_HT_3.5,Over_HT_4.5,Over_HT_5.5,Passes_Final_Third_Pct_Away_2T,Passes_Final_Third_Pct_Away_FT,Passes_Final_Third_Pct_Away_HT,Passes_Final_Third_Pct_Home_2T,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Home_HT,Passes_Pct_Away_2T,Passes_Pct_Away_FT,Passes_Pct_Away_HT,Passes_Pct_Home_2T,Passes_Pct_Home_FT,Passes_Pct_Home_HT,Possession_Away_2T,Possession_Away_FT,Possession_Away_HT,Possession_Home_2T,Possession_Home_FT,Possession_Home_HT,Shots_Inside_Box_Away_2T,Shots_Inside_Box_Away_FT,Shots_Inside_Box_Away_HT,Shots_Inside_Box_Home_2T,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Home_HT,Shots_Off_Target_Away_2T,Shots_Off_Target_Away_FT,Shots_Off_Target_Away_HT,Shots_Off_Target_Home_2T,Shots_Off_Target_Home_FT,Shots_Off_Target_Home_HT,Shots_On_Target_Away_2T,Shots_On_Target_Away_FT,Shots_On_Target_Away_HT,Shots_On_Target_Home_2T,Shots_On_Target_Home_FT,Shots_On_Target_Home_HT,Shots_Outside_Box_Away_2T,Shots_Outside_Box_Away_FT,Shots_Outside_Box_Away_HT,Shots_Outside_Box_Home_2T,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Home_HT,Tackles_Pct_Away_2T,Tackles_Pct_Away_FT,Tackles_Pct_Away_HT,Tackles_Pct_Home_2T,Tackles_Pct_Home_FT,Tackles_Pct_Home_HT,Through_Passes_Away_2T,Through_Passes_Away_FT,Through_Passes_Away_HT,Through_Passes_Home_2T,Through_Passes_Home_FT,Through_Passes_Home_HT,Throw_Ins_Away_2T,Throw_Ins_Away_FT,Throw_Ins_Away_HT,Throw_Ins_Home_2T,Throw_Ins_Home_FT,Throw_Ins_Home_HT,Total_Shots_Away_2T,Total_Shots_Away_FT,Total_Shots_Away_HT,Total_Shots_Home_2T,Total_Shots_Home_FT,Total_Shots_Home_HT,Touches_Box_Away_2T,Touches_Box_Away_FT,Touches_Box_Away_HT,Touches_Box_Home_2T,Touches_Box_Home_FT,Touches_Box_Home_HT,Under_FT_5.5,Under_FT_6.5,Under_FT_7.5,Under_FT_8.5,Under_HT_3.5,Under_HT_4.5,Under_HT_5.5,xA_Away_2T,xA_Away_FT,xA_Away_HT,xA_Home_2T,xA_Home_FT,xA_Home_HT,xGOT_Away_2T,xGOT_Away_FT,xGOT_Away_HT,xGOT_Faced_Away_2T,xGOT_Faced_Away_FT,xGOT_Faced_Away_HT,xGOT_Faced_Home_2T,xGOT_Faced_Home_FT,xGOT_Faced_Home_HT,xGOT_Home_2T,xGOT_Home_FT,xGOT_Home_HT,xG_Away_2T,xG_Away_FT,xG_Away_HT,xG_Home_2T,xG_Home_FT,xG_Home_HT,stats_collected
fLt2NVW1,BRAZIL,2026,Serie A Betano,BRAZIL 1,10/05/2026,20:30,RODADA 15,Vasco,Athletico-PR,1,0,1.0,0.0,1.96,3.6,3.2,2.6,4.25,2.12,1.95,1.67,1.37,2.3,1.04,6.5,1.31,2.89,3.32,1.23,5.8,1.06,2.68,1.27,5.4,1.02,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,8.0,17.0,9.0,14.0,24.0,10.0,1.0,3.0,2.0,0.0,4.0,4.0,0.5,0.27,0.11,0.5,0.55,0.57,22.0,41.0,19.0,28.0,45.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,1.0,5.0,6.0,1.0,5.0,6.0,1.0,8.0,9.0,1.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,0.51,0.51,0.0,0.44,0.44,1.0,1.0,0.0,0.0,1.0,1.0,3.0,6.0,3.0,7.0,13.0,6.0,0.5,0.47,0.46,0.63,0.65,0.68,0.0,0.0,0.0,0.0,1.0,1.0,17.0,26.0,81.0,101.0,19.0,67.0,101.0,0.71,0.69,0.67,0.75,0.78,0.8,0.86,0.84,0.81,0.89,0.89,0.88,0.51,0.47,0.43,0.49,0.53,0.57,2.0,4.0,2.0,4.0,12.0,8.0,3.0,4.0,1.0,3.0,6.0,3.0,0.0,3.0,3.0,0.0,6.0,6.0,2.0,5.0,3.0,0.0,4.0,4.0,0.58,0.59,0.6,0.71,0.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,5.0,6.0,16.0,10.0,4.0,9.0,5.0,4.0,16.0,12.0,10.0,18.0,8.0,9.0,24.0,15.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.49,0.72,0.23,0.43,1.44,1.01,0.0,0.44,0.44,0.0,1.51,1.51,0.0,0.44,0.44,0.0,1.51,1.51,0.58,0.9,0.32,0.71,2.11,1.4,1
23epNMxJ,BRAZIL,2026,Serie A Betano,BRAZIL 1,10/05/2026,19:30,RODADA 15,Grêmio,Flamengo,0,1,0.0,0.0,3.43,2.05,3.2,4.08,2.79,2.05,2.0,1.69,1.27,3.4,1.05,7.0,1.32,3.0,3.4,1.25,6.33,1.07,2.28,1.55,5.0,1.14,3.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,1.0,0.0,17.0,20.0,3.0,16.0,37.0,21.0,2.0,6.0,4.0,0.0,0.0,0.0,0.27,0.18,0.09,0.09,0.14,0.33,25.0,44.0,19.0,14.0,41.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,10.0,6.0,4.0,10.0,6.0,4.0,10.0,6.0,4.0,10.0,6.0,1.0,2.0,1.0,2.0,4.0,2.0,0.03,0.04,0.01,0.28,0.54,0.26,0.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,4.0,9.0,16.0,7.0,0.7,0.53,0.45,0.54,0.44,0.32,0.0,0.0,0.0,0.0,0.0,0.0,10.0,38.0,81.0,101.0,13.0,35.0,101.0,0.84,0.82,0.79,0.73,0.69,0.62,0.91,0.89,0.87,0.85,0.8,0.7,0.63,0.68,0.74,0.37,0.32,0.26,7.0,13.0,6.0,1.0,2.0,1.0,3.0,10.0,7.0,0.0,2.0,2.0,3.0,5.0,2.0,1.0,3.0,2.0,2.0,7.0,5.0,1.0,4.0,3.0,0.45,0.47,0.5,0.33,0.46,0.57,2.0,2.0,0.0,0.0,0.0,0.0,3.0,18.0,15.0,9.0,15.0,6.0,9.0,20.0,11.0,2.0,6.0,4.0,19.0,34.0,15.0,6.0,7.0,1.0,1.02,1.01,1.0,1.0,1.03,1.01,1.0,1.46,1.88,0.42,0.13,0.18,0.05,1.28,1.54,0.26,0.03,0.04,0.01,1.28,1.54,0.26,0.03,0.04,0.01,2.2,2.77,0.57,0.13,0.26,0.13,1
tGoMSQ8s,BRAZIL,2026,Serie A Betano,BRAZIL 1,10/05/2026,18:30,RODADA 15,Corinthians,São Paulo,3,2,1.0,1.0,2.2,3.59,2.99,2.99,4.33,2.05,2.24,1.58,1.3,3.2,1.08,6.56,1.4,2.73,4.01,1.2,7.45,1.06,2.42,1.5,5.45,1.12,0.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,12.0,33.0,21.0,13.0,29.0,16.0,4.0,7.0,3.0,1.0,7.0,6.0,0.0,0.0,0.0,0.33,0.38,0.41,23.0,42.0,19.0,20.0,34.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,10.0,13.0,3.0,7.0,12.0,5.0,7.0,12.0,5.0,10.0,13.0,3.0,0.0,3.0,3.0,2.0,3.0,1.0,-1.34,-0.64,0.7,0.2,0.53,0.33,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,6.0,10.0,15.0,5.0,0.32,0.27,0.21,0.67,0.51,0.35,1.0,3.0,2.0,1.0,1.0,0.0,17.0,34.0,101.0,101.0,21.0,81.0,101.0,0.64,0.66,0.68,0.85,0.79,0.74,0.82,0.81,0.8,0.84,0.82,0.81,0.56,0.51,0.46,0.44,0.49,0.54,1.0,3.0,2.0,4.0,11.0,7.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,4.0,2.0,2.0,6.0,4.0,3.0,4.0,1.0,2.0,4.0,2.0,0.67,0.6,0.5,0.5,0.88,1.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,19.0,11.0,14.0,26.0,12.0,4.0,7.0,3.0,6.0,15.0,9.0,5.0,13.0,8.0,10.0,24.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.79,0.74,0.17,1.01,0.84,0.2,1.53,1.33,0.66,2.36,1.7,0.2,1.53,1.33,0.66,2.36,1.7,0.12,1.06,0.94,0.32,1.37,1.05,1
ltkUQ4wf,BRAZIL,2026,Serie A Betano,BRAZIL 1,10/05/2026,18:30,RODADA 15,Mirassol,Chapecoense,1,1,0.0,0.0,1.62,5.87,3.79,2.09,5.87,2.32,1.91,1.8,1.33,3.0,1.02,10.0,1.25,3.3,3.3,1.29,7.0,1.07,2.88,1.36,7.5,1.06,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,6.0,5.0,25.0,43.0,18.0,8.0,14.0,6.0,1.0,1.0,0.0,4.0,8.0,4.0,0.56,0.46,0.25,0.12,0.09,0.07,27.0,49.0,22.0,23.0,48.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,8.0,5.0,10.0,5.0,5.0,10.0,5.0,12.0,20.0,8.0,2.0,3.0,1.0,3.0,4.0,1.0,0.17,0.17,0.0,0.25,0.37,0.12,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,2.0,3.0,1.0,0.55,0.56,0.58,0.48,0.5,0.52,0.0,1.0,1.0,0.0,1.0,1.0,13.0,21.0,67.0,101.0,17.0,67.0,101.0,0.67,0.67,0.65,0.74,0.72,0.7,0.81,0.81,0.81,0.85,0.86,0.87,0.46,0.41,0.37,0.54,0.59,0.63,3.0,3.0,0.0,5.0,9.0,4.0,5.0,5.0,0.0,7.0,13.0,6.0,3.0,4.0,1.0,4.0,4.0,0.0,7.0,8.0,1.0,7.0,14.0,7.0,1.0,0.88,0.75,0.67,0.58,0.56,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,15.0,10.0,25.0,15.0,10.0,11.0,1.0,12.0,23.0,11.0,10.0,11.0,1.0,12.0,20.0,8.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.57,0.63,0.06,0.7,0.91,0.21,0.25,0.37,0.12,1.17,1.17,0.0,0.25,0.37,0.12,1.17,1.17,0.0,0.44,0.46,0.02,0.99,1.48,0.49,1
MRYmoZO8,BRAZIL,2026,Serie A Betano,BRAZIL 1,10/05/2026,18:30,RODADA 15,Santos,Red Bull Bragantino,2,0,1.0,0.0,2.08,3.65,3.55,2.6,3.95,2.16,1.89,1.72,1.36,2.35,1.04,6.9,1.28,3.02,3.12,1.26,5.4,1.08,2.59,1.29,5.2,1.03,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,7.0,22.0,15.0,17.0,29.0,12.0,1.0,3.0,2.0,1.0,7.0,6.0,0.27,0.24,0.17,0.0,0.1,0.13,26.0,45.0,19.0,26.0,50.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,8.0,9.0,13.0,4.0,9.0,13.0,4.0,10.0,18.0,8.0,0.0,1.0,1.0,2.0,3.0,1.0,-0.24,-0.54,-0.3,0.1,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,8.0,4.0,8.0,4.0,0.58,0.5,0.43,0.36,0.38,0.4,1.0,2.0,1.0,2.0,3.0,1.0,17.0,26.0,81.0,101.0,19.0,67.0,101.0,0.74,0.64,0.49,0.67,0.72,0.77,0.87,0.79,0.66,0.77,0.81,0.84,0.58,0.47,0.36,0.42,0.53,0.64,2.0,5.0,3.0,2.0,8.0,6.0,2.0,5.0,3.0,1.0,5.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,5.0,3.0,0.0,1.0,1.0,0.25,0.29,0.33,0.69,0.73,0.78,0.0,1.0,1.0,1.0,1.0,0.0,8.0,20.0,12.0,8.0,15.0,7.0,4.0,10.0,6.0,2.0,9.0,7.0,15.0,23.0,8.0,11.0,27.0,16.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.28,0.54,0.26,0.28,0.96,0.68,0.1,0.3,0.2,0.76,1.46,0.7,0.1,0.3,0.2,0.76,1.46,0.7,0.1,0.65,0.55,0.18,1.12,0.94,1
UkcxPr86,BRAZIL,2026,Serie A Betano,BRAZIL 1,10/05/2026,16:00,RODADA 15,Atlético-MG,Botafogo,1,1,1.0,0.0,2.1,3.5,3.45,2.72,4.0,2.12,1.84,1.82,1.35,2.57,1.04,7.5,1.27,3.28,3.03,1.31,5.3,1.1,2.58,1.35,5.4,1.06,2.0,2.0,0.0,3.0,4.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,14.0,21.0,7.0,14.0,30.0,16.0,3.0,4.0,1.0,4.0,6.0,2.0,0.1,0.22,0.38,0.44,0.35,0.25,19.0,41.0,22.0,25.0,37.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,9.0,12.0,3.0,3.0,9.0,6.0,3.0,9.0,6.0,9.0,12.0,3.0,2.0,6.0,4.0,1.0,4.0,3.0,0.39,0.03,-0.36,0.06,0.83,0.77,1.0,1.0,0.0,0.0,0.0,0.0,7.0,13.0,6.0,6.0,10.0,4.0,0.43,0.38,0.3,0.2,0.32,0.43,1.0,1.0,0.0,2.0,3.0,1.0,13.0,26.0,81.0,101.0,17.0,67.0,101.0,0.56,0.57,0.58,0.65,0.69,0.73,0.8,0.81,0.82,0.68,0.75,0.8,0.58,0.57,0.56,0.42,0.43,0.44,6.0,10.0,4.0,7.0,12.0,5.0,7.0,11.0,4.0,4.0,5.0,1.0,2.0,5.0,3.0,2.0,7.0,5.0,4.0,8.0,4.0,3.0,5.0,2.0,0.5,0.5,0.5,0.71,0.7,0.67,0.0,0.0,0.0,0.0,1.0,1.0,13.0,25.0,12.0,5.0,11.0,6.0,10.0,18.0,8.0,10.0,17.0,7.0,10.0,23.0,13.0,12.0,20.0,8.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.24,0.45,0.21,0.64,0.92,0.28,1.06,1.83,0.77,0.39,1.03,0.64,1.06,1.83,0.77,0.39,1.03,0.64,1.39,1.74,0.35,0.61,1.13,0.52,1
A9IBwrNa,BRAZIL,2026,Serie A Betano,BRAZIL 1,10/05/2026,16:00,RODADA 15,Remo,Palmeiras,1,1,1.0,1.0,4.5,1.81,3.8,4.4,2.38,2.2,1.85,1.75,1.33,2.42,1.05,8.97,1.3,3.47,3.25,1.33,6.0,1.12,2.62,1.28,4.08,1.18,1.0,2.0,1.0,2.0,2.0,0.0,2.0,5.0,3.0,1.0,3.0,2.0,13.0,25.0,12.0,25.0,41.0,16.0,10.0,17.0,7.0,3.0,5.0,2.0,0.3,0.24,0.14,0.29,0.27,0.25,23.0,48.0,25.0,28.0,42.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.0,6.0,4.0,2.0,6.0,4.0,2.0,6.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,0.56,0.46,-0.1,0.23,-0.31,-0.54,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,2.0,2.0,6.0,4.0,0.41,0.48,0.57,0.42,0.36,0.28,3.0,7.0,4.0,0.0,0.0,0.0,13.0,26.0,81.0,101.0,19.0,67.0,101.0,0.72,0.72,0.71,0.56,0.52,0.45,0.8,0.81,0.83,0.62,0.62,0.62,0.67,0.66,0.66,0.33,0.34,0.34,7.0,11.0,4.0,5.0,9.0,4.0,6.0,8.0,2.0,5.0,8.0,3.0,2.0,5.0,3.0,2.0,4.0,2.0,3.0,7.0,4.0,3.0,6.0,3.0,0.5,0.67,0.75,0.92,0.87,0.67,1.0,1.0,0.0,0.0,0.0,0.0,14.0,19.0,5.0,5.0,15.0,10.0,10.0,18.0,8.0,8.0,15.0,7.0,22.0,37.0,15.0,7.0,13.0,6.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.06,0.26,0.54,0.62,0.08,0.23,0.69,0.46,0.56,1.46,0.9,0.23,0.69,0.46,0.56,1.46,0.9,0.9,1.2,0.3,0.44,0.97,0.53,1
lfU2u4hm,BRAZIL,2026,Serie A Betano,BRAZIL 1,09/05/2026,21:00,RODADA 15,Bahia,Cruzeiro,1,2,1.0,1.0,2.14,3.1,3.2,2.8,3.75,2.14,1.88,1.78,1.37,2.52,1.04,7.4,1.29,3.18,3.15,1.29,5.5,1.1,2.65,1.33,5.5,1.05,1.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,22.0,33.0,11.0,10.0,21.0,11.0,3.0,8.0,5.0,5.0,6.0,1.0,0.36,0.41,0.45,0.0,0.05,0.17,20.0,46.0,26.0,26.0,46.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,16.0,8.0,7.0,14.0,7.0,7.0,14.0,7.0,8.0,16.0,8.0,2.0,2.0,0.0,3.0,5.0,2.0,0.54,0.44,-0.1,0.13,-0.61,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,2.0,8.0,6.0,0.5,0.59,0.71,0.63,0.47,0.32,2.0,2.0,0.0,0.0,0.0,0.0,13.0,26.0,81.0,101.0,19.0,67.0,101.0,0.82,0.8,0.78,0.53,0.65,0.76,0.87,0.87,0.87,0.72,0.81,0.87,0.57,0.54,0.5,0.43,0.46,0.5,7.0,14.0,7.0,2.0,5.0,3.0,4.0,10.0,6.0,2.0,3.0,1.0,4.0,7.0,3.0,2.0,3.0,1.0,1.0,6.0,5.0,3.0,3.0,0.0,0.0,0.59,0.63,0.45,0.5,0.57,1.0,1.0,0.0,0.0,0.0,0.0,9.0,16.0,7.0,12.0,19.0,7.0,8.0,20.0,12.0,5.0,8.0,3.0,11.0,23.0,12.0,5.0,14.0,9.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.82,1.36,0.54,0.15,0.31,0.16,0.3,0.52,0.22,0.54,1.44,0.9,1.13,1.39,0.26,0.61,1.51,0.9,0.74,1.52,0.78,0.35,1.2,0.85,1
zJQ0Pi2k,BRAZIL,2026,Serie A Betano,BRAZIL 1,09/05/2026,18:00,RODADA 15,Fluminense,Vitória,2,2,1.0,0.0,1.53,5.66,3.66,2.1,6.33,2.2,2.0,1.73,1.36,2.88,1.03,9.0,1.29,3.3,3.6,1.25,7.5,1.06,2.88,1.36,8.0,1.05,1.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,16.0,21.0,5.0,9.0,19.0,10.0,2.0,3.0,1.0,2.0,6.0,4.0,0.2,0.33,0.43,0.23,0.24,0.25,32.0,61.0,29.0,28.0,48.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,7.0,4.0,8.0,15.0,7.0,8.0,15.0,7.0,3.0,7.0,4.0,3.0,3.0,0.0,1.0,1.0,0.0,0.54,0.42,-0.12,-0.33,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,2.0,4.0,2.0,0.47,0.61,0.69,0.73,0.55,0.44,0.0,0.0,0.0,1.0,1.0,0.0,13.0,26.0,81.0,101.0,17.0,67.0,101.0,0.59,0.66,0.7,0.84,0.84,0.83,0.76,0.84,0.88,0.9,0.89,0.87,0.3,0.42,0.52,0.7,0.58,0.48,4.0,6.0,2.0,3.0,7.0,4.0,1.0,5.0,4.0,2.0,5.0,3.0,3.0,3.0,0.0,4.0,5.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,0.6,0.65,0.71,0.71,0.71,0.7,0.0,0.0,0.0,1.0,1.0,0.0,4.0,6.0,2.0,12.0,15.0,3.0,5.0,10.0,5.0,6.0,12.0,6.0,11.0,19.0,8.0,14.0,23.0,9.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.13,0.41,0.28,0.8,1.06,0.26,1.67,1.67,0.0,1.54,2.42,0.88,1.67,1.67,0.0,1.54,2.42,0.88,1.13,1.44,0.31,0.74,1.05,0.31,1
IBwXpQUP,BRAZIL,2026,Serie A Betano,BRAZIL 1,09/05/2026,16:00,RODADA 15,Coritiba,Internacional,2,2,1.0,0.0,2.38,2.96,3.1,3.1,3.7,1.95,2.33,1.61,1.31,3.15,1.05,6.75,1.39,2.61,4.05,1.17,7.9,1.02,2.44,1.49,5.45,1.09,5.0,6.0,1.0,0.0,1.0,1.0,5.0,7.0,2.0,1.0,2.0,1.0,4.0,17.0,13.0,42.0,62.0,20.0,6.0,8.0,2.0,0.0,3.0,3.0,0.17,0.16,0.13,0.4,0.29,0.22,24.0,49.0,25.0,27.0,51.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,10.0,4.0,5.0,11.0,6.0,5.0,11.0,6.0,6.0,10.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,-0.9,-1.22,-0.32,0.71,0.71,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,3.0,3.0,6.0,3.0,0.6,0.53,0.45,0.22,0.31,0.39,0.0,1.0,1.0,0.0,0.0,0.0,16.0,55.0,81.0,101.0,15.0,45.0,101.0,0.77,0.73,0.68,0.63,0.58,0.57,0.84,0.83,0.82,0.7,0.74,0.76,0.75,0.64,0.54,0.25,0.36,0.46,12.0,16.0,4.0,4.0,5.0,1.0,5.0,11.0,6.0,3.0,3.0,0.0,4.0,4.0,0.0,1.0,3.0,2.0,2.0,6.0,4.0,1.0,3.0,2.0,0.8,0.88,1.0,0.5,0.67,0.8,0.0,0.0,0.0,0.0,1.0,1.0,23.0,32.0,9.0,9.0,18.0,9.0,14.0,22.0,8.0,5.0,8.0,3.0,25.0,36.0,11.0,7.0,13.0,6.0,1.01,1.0,1.0,1.0,1.02,1.0,1.0,0.75,1.39,0.64,0.15,0.34,0.19,2.71,2.71,0.0,0.1,0.78,0.68,2.71,2.71,0.0,0.1,0.78,0.68,2.97,3.35,0.38,0.3,0.55,0.25,1
