Match_ID,Data,Hora,Pais,Liga,Rodada,Home,Away,H_Gols_FT,A_Gols_FT,H_Gols_HT,A_Gols_HT
lQQTzpqQ,07.12.2025,16:00,BRASIL,BRASILEIRÃO BETANO,RODADA 38,Atlético-MG,Vasco,5,0,,
YyRPIpNs,07.12.2025,16:00,BRASIL,BRASILEIRÃO BETANO,RODADA 38,Botafogo,Fortaleza,4,2,,
ll9GRu6C,07.12.2025,16:00,BRASIL,BRASILEIRÃO BETANO,RODADA 38,Ceará,Palmeiras,1,3,,
t2UXGOif,07.12.2025,16:00,BRASIL,BRASILEIRÃO BETANO,RODADA 38,Corinthians,Juventude,1,1,,
l4kgO6aK,07.12.2025,16:00,BRASIL,BRASILEIRÃO BETANO,RODADA 38,Fluminense,Bahia,2,0,,
K8HaVN6m,07.12.2025,16:00,BRASIL,BRASILEIRÃO BETANO,RODADA 38,Internacional,Red Bull Bragantino,3,1,,
xUNtF2M6,07.12.2025,16:00,BRASIL,BRASILEIRÃO BETANO,RODADA 38,Santos,Cruzeiro,3,0,,
rm2PPJzP,07.12.2025,16:00,BRASIL,BRASILEIRÃO BETANO,RODADA 38,Sport,Grêmio,0,4,,
tO58T1y0,07.12.2025,16:00,BRASIL,BRASILEIRÃO BETANO,RODADA 38,Vitória,São Paulo,1,0,0,0
AsMlDtiJ,06.12.2025,18:30,BRASIL,BRASILEIRÃO BETANO,RODADA 38,Mirassol,Flamengo,3,3,,
