Alemanha - Bundesliga Women
Argentina - Reserve League
Armênia - First League
Áustria - Regionalliga: West
Azerbaijão - Birinci Dasta
Bahrein - Second Division
Burkina Faso - Premier League
Cazaquistão - First Division
Colômbia - Torneo Betplay
Costa do Marfim - Ligue 1
Costa Rica - Primera Division
Dinamarca - First Division
Equador - Primera B
Estônia - Esiliiga A
Europa - Champions League Women
Geórgia - Liga 3
Guatemala - Liga Nacional
Índia - Bangalore Super Division
Indonésia - Liga 1
Inglaterra - League Cup Women
Inglaterra - Premier League Cup
Irã - Persian Gulf Pro League
Malauí - Super League
México - Liga de Expansión MX
México - Liga Mx Women
Nicarágua - Primera Division
Omã - Professional League
Quênia - Premier League
Quirguizistão - Top Liga
Romênia - Liga 1
Rússia - Russian Cup
Turcomenistão - Ýokary Liga
Uganda - Premier League
Uzbequistão - Professional Football League
Uzbequistão - Pro League A
Hungria - U19 League
Malta - First Division Women
Brasil - Potiguar 2
Ucrânia - U19 League
Canadá - Northern Super League
Uruguai - Copa Uruguay
Arábia Saudita - Division 2
Israel - Liga Bet - South B
