Itália - Coppa Italia
Portugal - League Cup
Suíça - Swiss Cup
Alemanha - Oberliga: Hamburg
Angola - Girabola
Bósnia e Herzegovina - Premier Liga
Burkina Faso - Premier League
Croácia - 2. HNL
Eslováquia - Youth League
Eslovênia - 1. Womens Liga
Eslovênia - 1. Junior League
Geórgia - Liga 3
Gibraltar - Premier Division
Grécia - Greek Cup
Israel - Ligat Al Women
Jordânia - Shield Cup
Kosovo - Kosovar Cup
Malauí - Super League
Polônia - 2. Liga East
Qatar - QSL Cup
Quênia - Premier League
Romênia - Romania Cup
Tailândia - Thai League Two
Tajiquistão - Vysshaya Liga
Tanzânia - Ligi kuu Bara
Uganda - Premier League
Zâmbia - Super League
Ucrânia - U19 League
Arábia Saudita - Women’s Premier League
Ásia - ASEAN Club Championship
