Arábia Saudita - Division 1
Azerbaijão - Birinci Dasta
Etiópia - Premier League
Guiné - Ligue 1
Honduras - Liga Nacional
Índia - Santosh Trophy
Irã - Persian Gulf Pro League
Israel - Liga Bet - South A
Israel - State Cup
Líbano - Premier League
Líbia - Premier League
Mianmar - National League
Síria - Premier League
Turquia - U19 Elit A
Vietnã - U19 Championship
Israel - Liga Bet - North B
Israel - Liga Bet - South B
Egito - League Cup
Malásia - Liga M3
Egito - Second Division A
Qatar - Olympic League
Etiópia - Higher League
