data,liga,hora,home,away,Odd_H,Odd_D,Odd_A,link_confronto
2026-04-23,Espanha - La Liga,14:00,Levante,Sevilla,2.45,3.25,2.9,https://redscores.com/pt-br/match/sevilla-levante/CFxU5
2026-04-23,Espanha - La Liga,15:00,Rayo Vallecano,Espanyol,2.1,3.25,3.75,https://redscores.com/pt-br/match/rayo-vallecano-espanyol/Fdxue
2026-04-23,Espanha - La Liga,16:30,R. Oviedo,Villarreal,3.6,3.4,2.05,https://redscores.com/pt-br/match/real-oviedo-villarreal/qAxa6
2026-04-23,Países Baixos - Eredivisie,13:45,G. A. Eagle,AZ,3.0,3.8,2.15,https://redscores.com/pt-br/match/az-go-ahead-eagles/aAx3f
2026-04-23,Países Baixos - Eredivisie,16:00,PSV,Zwolle,1.2,7.5,12.0,https://redscores.com/pt-br/match/psv-pec-zwolle/FFxui
2026-04-23,Portugal - Primeira Liga,15:00,Casa Pia,Braga,5.25,4.0,1.6,https://redscores.com/pt-br/match/sporting-braga-casa-pia/phxOEB
2026-04-23,Bélgica - Pro League,15:30,St. Truiden,Anderlecht,2.1,3.5,3.0,https://redscores.com/pt-br/match/sint-truiden-anderlecht/ZCx3U
2026-04-23,Inglaterra - League Two,16:00,Salford,Bromley,1.8,3.75,4.0,https://redscores.com/pt-br/match/salford-city-bromley/Dbx1c
2026-04-23,Dinamarca - Superliga,13:00,Randers,Fredericia,1.75,3.9,4.33,https://redscores.com/pt-br/match/randers-fredericia/ttxCY
2026-04-23,Dinamarca - Superliga,13:00,Nordsjælland,AGF,2.9,3.6,2.25,https://redscores.com/pt-br/match/nordsjaelland-agf/HTxty
2026-04-23,Dinamarca - Superliga,15:00,SønderjyskE,Midtjylland,4.5,4.1,1.66,https://redscores.com/pt-br/match/sonderjyske-midtjylland/mdxmH
2026-04-23,Suécia - Allsvenskan,14:00,Degerfors,AIK,3.0,3.4,2.3,https://redscores.com/pt-br/match/degerfors-aik/eWxJX
2026-04-23,Suécia - Allsvenskan,14:00,Malmö FF,Sirius,2.05,3.8,3.2,https://redscores.com/pt-br/match/malmo-ff-sirius/zCx4V
2026-04-23,Suécia - Allsvenskan,14:00,Kalmar,IFK Göteborg,3.0,3.25,2.37,https://redscores.com/pt-br/match/kalmar-ifk-goteborg/CDxwe
2026-04-23,Suécia - Allsvenskan,14:00,GAIS,Mjällby,2.87,3.3,2.4,https://redscores.com/pt-br/match/mjallby-gais/WdxeO
