Rússia - Premier League
Albânia - 1st Division
Albânia - Kampionati i Femrave
Alemanha - Bundesliga Women
Argentina - Primera C
Armênia - First League
Austrália - Victoria Premier League 2
Austrália - South Australia FFA Cup Preliminary
Austrália - Queensland FFA Cup Preliminary
Bahrein - Premier League
Belarus - Women's Cup
Brasil - Serie D
Brasil - Brasileiro Women
Brasil - Paranaense 2
Bulgária - Vtora Liga
Butão - Bhutan Premier League
Camarões - Elite Two
Chile - Primera B
Colômbia - Copa Betplay
Colômbia - Liga Femenina
Costa do Marfim - Ligue 1
Costa Rica - Liga de Ascenso
Croácia - 3. HNL - North
Curaçao - Premier League
Emirados Árabes Unidos - Uae League
Emirados Árabes Unidos - Arabian Gulf Reserve League
Eslovênia - 2. SNL
Eslovênia - 1. Junior League
Espanha - Primera Division Women
Estônia - Esiliiga A
Estônia - Small Cup
Etiópia - Premier League
Europa - UEFA U17 Championship Women
Geórgia - Crystalbet Erovnuli Liga
Índia - Indian Super League
Índia - I-League
Indonésia - Liga 1
Iraque - Iraqi League
Islândia - Premier League Women
Israel - Liga Leumit
Letônia - Virsliga
Líbia - Premier League
Lituânia - 1. Lyga
Malauí - Super League
Marrocos - Botola Pro
Mauritânia - Super D1
Moçambique - Mocambola
Noruega - 3. Division
Noruega - Cup Women
Paraguai - Division Intermedia
Peru - Segunda Division
Polônia - 1. Liga
Quênia - Premier League
Quirguizistão - Top Liga
República Tcheca - 2. Liga FNL
Rússia - FNL
Serra Leoa - Premier League
Sérvia - Prva Liga
Suécia - Allsvenskan Women
Suíça - Challenge League
Tunísia - Ligue 2
Uzbequistão - Uzbekistan Cup
Vietnã - Second Division
Ucrânia - U19 League
Aruba - Play-offs 1/2
Itália - U18 Serie A/B
Paraguai - Campeonato Femenino
Israel - Play-offs 2/3
Rússia - Third Division - Moskva
Malásia - Liga M3
Cazaquistão - Womens Championship
Islândia - 2. Delid Women
Islândia - U19 Cup
Rússia - FNL 2 - Group 2
Itália - Primavera Women
Noruega - 3. Division - Group 6
Noruega - 3. Division - Group 3
Noruega - 3. Division - Group 4
Noruega - 3. Division - Group 2
Escócia - Regional Leagues
Argentina - Primera A
Escócia - Regional Leagues: Midlands
