id_jogo,liga,hora,home,away,link_confronto,odd_h,odd_d,odd_a
19362164,Argentina - Superliga,15:30,Barracas Central,Defensa y Justicia,https://redscores.com/pt-br/match/barracas-central-defensa-y-justicia/3gbxWrb,0,0,2.7
19362168,Argentina - Superliga,20:00,Tigre,Independiente Rivadavia,https://redscores.com/pt-br/match/independiente-rivadavia-tigre/JGxbub,0,0,2.2
19511050,Argélia - Ligue 1,13:00,Oued Akbou,Mostaganem,https://redscores.com/pt-br/match/mostaganem-oued-akbou/kKcxdOAA,0,0,2
19511051,Argélia - Ligue 1,13:00,El Bayadh,CS Constantine,https://redscores.com/pt-br/match/cs-constantine-el-bayadh/8Mxbwt,0,0,2.15
19375234,Chile - Primera Division,16:00,Palestino,Colo-Colo,https://redscores.com/pt-br/match/colo-colo-palestino/aebxeub,0,0,2.62
19375232,Chile - Primera Division,21:30,Deportes Limache,O'Higgins,https://redscores.com/pt-br/match/o-higgins-deportes-limache/fvbxbzW,0,0,2.62
19509593,Peru - Primera Division,CANCL,Ayacucho,Deportivo Binacional,https://redscores.com/pt-br/match/ayacucho-deportivo-binacional/6VBxhlT,0,0,1.8
19509594,Peru - Primera Division,17:15,Juan Pablo II College,Cusco FC,https://redscores.com/pt-br/match/cusco-fc-juan-pablo-ii-college/66bxwyFA,0,0,3.2
19516821,Portugal - Segunda Liga,16:15,Chaves,Felgueiras 1932,https://redscores.com/pt-br/match/chaves-felgueiras-1932/gixwsb,0,0,2.1
19509444,Venezuela - Primera Division,18:00,Yaracuyanos,Rayo Zuliano,https://redscores.com/pt-br/match/yaracuyanos-rayo-zuliano/rCcxl7DA,0,0,0
19466765,Venezuela - Primera Division,20:30,Portuguesa,Academia Anzoátegui,https://redscores.com/pt-br/match/portuguesa-academia-anzoategui/hIcxDEEA,0,0,2.3
